Content ID,Category,Content_Type,Type,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,disgust,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,dislike,negative,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,scared,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,disgust,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,interested,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,peeking,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,cherish,positive,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,hate,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,peeking,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,indifferent,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,scared,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,interested,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,hate,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,scared,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,super love,positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,peeking,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,indifferent,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,interested,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,peeking,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,worried,negative,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,like,positive,50
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,heart,positive,60
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,worried,negative,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,hate,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,hate,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,cherish,positive,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,super love,positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,scared,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,interested,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,indifferent,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,super love,positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,disgust,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,super love,positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,interested,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,dislike,negative,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,scared,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,want,positive,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,interested,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,indifferent,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,worried,negative,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,hate,negative,5
9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,photo,dislike,negative,10
9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,photo,intrigued,positive,45
9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,photo,peeking,neutral,35
9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,photo,scared,negative,15
9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,photo,hate,negative,5
9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,photo,disgust,negative,0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,photo,hate,negative,5
9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,photo,like,positive,50
9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,photo,love,positive,65
9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,photo,heart,positive,60
9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,photo,indifferent,neutral,20
9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,photo,peeking,neutral,35
9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,photo,love,positive,65
9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,photo,like,positive,50
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,hate,negative,5
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,super love,positive,75
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,adore,positive,72
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,scared,negative,15
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,cherish,positive,70
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,adore,positive,72
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,interested,positive,30
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,heart,positive,60
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,like,positive,50
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,hate,negative,5
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,interested,positive,30
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,dislike,negative,10
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,peeking,neutral,35
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,heart,positive,60
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,super love,positive,75
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,want,positive,70
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,hate,negative,5
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,dislike,negative,10
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,dislike,negative,10
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,want,positive,70
